player_name,playerid,fantasy_position,games,IP,H,ER,BB,K,W,L,SV,HD,fantasy_pts,avg_pts_per_game,ERA,WHIP
Brennan Bernardino,16835,SP,42,28.3,36,13,11,26,3,3,1,5,52.9,1.26,4.13,1.661
Matthew Boyd,15440,SP,7,31.8,37,19,10,37,3,1,0,0,51.400000000000006,7.34,5.38,1.478
Casey Legumina,25921,SP,28,30.2,38,14,8,24,2,2,0,5,50.6,1.81,4.17,1.523
José Alvarado,17780,RP,37,26.1,41,21,11,43,3,3,1,9,50.3,1.36,7.24,1.992
Kyle Hart,19646,SP,21,27.4,21,18,11,28,0,1,0,5,50.2,2.39,5.91,1.168
Steven Matz,13361,SP,15,51.6,55,37,19,41,4,4,0,1,49.8,3.32,6.45,1.434
Eric Orze,27626,RP,35,34.7,42,24,19,35,2,2,1,7,49.1,1.4,6.22,1.758
Mason Englert,22288,SP,13,28.8,35,13,7,28,0,2,1,0,47.400000000000006,3.65,4.06,1.458
Brandon Eisert,27668,SP,24,23.1,24,14,6,32,2,1,0,1,47.300000000000004,1.97,5.45,1.299
David Peterson,20302,SP,18,74.3,96,58,33,68,4,7,1,0,44.900000000000006,2.49,7.03,1.736
Grant Wolfram,21623,RP,32,18.3,29,12,4,29,1,2,0,10,44.9,1.4,5.9,1.803
Noah Schultz,32056,SP,9,41.6,32,28,26,40,2,5,0,0,44.8,4.98,6.06,1.394
Juan Mejia,23237,SP,36,34.4,43,27,22,43,1,6,3,6,44.2,1.23,7.06,1.89
Dean Kremer,19350,SP,3,17,12,6,3,20,1,1,0,0,44,14.67,3.18,0.882
Ty Madden,30140,SP,7,18.6,16,7,5,23,0,0,0,0,43.800000000000004,6.26,3.39,1.129
Chris Bassitt,12304,SP,12,54.7,70,33,22,37,4,4,0,0,43.1,3.59,5.43,1.682
Jared Jones,27863,SP,7,28.3,29,17,11,31,1,1,0,0,41.9,5.99,5.41,1.413
Kendry Rojas,29423,SP,6,16.1,12,3,13,18,1,0,0,1,39.3,6.55,1.68,1.553
Garrett Crochet,27463,SP,6,29.3,33,21,11,37,3,3,0,0,38.9,6.48,6.45,1.502
Jack Kochanowicz,27688,SP,13,61.9,65,44,36,47,2,5,0,0,37.7,2.9,6.4,1.632
Hunter Dobbins,30240,SP,4,16.4,17,7,7,19,1,0,1,0,37.2,9.3,3.84,1.463
Lance McCullers Jr.,14120,SP,8,38.4,38,30,22,43,2,3,0,0,36.2,4.53,7.03,1.562
Nick Pivetta,15454,SP,4,16,12,8,6,24,1,2,0,0,36,9,4.5,1.125
Tanner Gordon,27669,SP,11,45.1,62,35,10,46,0,2,0,0,35.3,3.21,6.98,1.596
Tobias Myers,22191,SP,24,38.5,46,29,12,32,0,2,1,1,34.50000000000001,1.44,6.78,1.506
Adam Macko,25590,SP,16,12.6,15,5,6,17,2,0,0,3,33.8,2.11,3.57,1.667
Kyle Freeland,16256,SP,16,74.2,105,62,18,68,2,7,0,0,33.599999999999994,2.1,7.52,1.658
Sam Aldegheri,26443,SP,9,32.5,31,19,17,22,3,4,0,0,31.5,3.5,5.26,1.477
Mick Abel,27756,SP,4,20.1,22,9,10,23,1,2,0,0,31.3,7.82,4.03,1.592
Alan Rangel,19524,SP,4,16,15,6,6,17,0,1,0,0,30,7.5,3.38,1.312
Yusei Kikuchi,20633,SP,7,30.3,35,20,14,33,0,3,0,0,28.9,4.13,5.94,1.617
Griffin Canning,19867,SP,12,48.9,52,38,30,50,1,6,0,0,28.7,2.39,6.99,1.677
David Sandlin,31743,SP,4,19.1,15,13,10,20,2,1,0,0,28.3,7.08,6.13,1.309
Paxton Schultz,25501,SP,25,28.1,39,20,11,31,1,2,1,0,28.3,1.13,6.41,1.779
Burch Smith,12784,SP,13,15.6,18,6,7,20,0,2,0,0,25.8,1.98,3.46,1.603
Chris Murphy,26214,SP,19,15.700000000000001,19,11,11,19,2,0,1,1,25.1,1.32,6.31,1.911
Brayan Bello,23920,SP,12,58.9,78,43,24,44,2,6,0,0,24.700000000000003,2.06,6.57,1.732
Jose Quintana,11423,SP,9,38.9,45,24,17,20,2,3,0,0,24.700000000000003,2.74,5.55,1.594
Joe Boyle,29608,SP,3,15.2,11,9,6,16,0,1,0,0,24.599999999999998,8.2,5.33,1.118
Cody Bolton,23265,SP,8,19.3,21,12,14,22,0,1,1,0,23.9,2.99,5.6,1.813
Riley Martin,29934,SP,8,8.1,5,2,2,10,0,0,0,0,23.3,2.91,2.22,0.864
Ryan Gusto,26440,SP,8,23.4,29,15,10,22,0,2,0,1,21.200000000000003,2.65,5.77,1.667
Tyler Samaniego,30081,SP,20,16.6,22,6,8,17,0,3,0,1,20.8,1.04,3.25,1.807
Cade Povich,30055,SP,4,18.4,19,11,7,12,1,1,0,0,19.200000000000003,4.8,5.38,1.413
Andrew Painter,30091,SP,14,62.9,84,51,24,53,1,8,0,0,17.7,1.26,7.3,1.717
Cade Horton,31872,SP,2,7.1,4,2,2,4,1,0,0,0,17.299999999999997,8.65,2.54,0.845
