player_name,playerid,fantasy_position,games,AB,H,2B,3B,HR,R,RBI,BB,K,SB,TB,fantasy_pts,avg_pts_per_game
Willson Contreras,11609,1B,102,351,101,18,2,23,55,67,46,105,3,192,258,2.53
Cody Bellinger,15998,OF,102,374,97,21,3,11,52,53,55,70,10,157,257,2.52
JJ Wetherholt,34985,2B,106,414,103,10,0,16,69,41,49,76,12,161,256,2.42
Michael Harris II,25931,OF,105,401,116,21,0,20,54,64,16,82,6,197,255,2.43
Bobby Witt Jr.,25764,SS,94,369,103,22,1,13,51,39,41,73,30,166,254,2.7
Fernando Tatis Jr.,19709,2B,110,431,122,22,2,8,56,49,45,96,26,172,252,2.29
Ceddanne Rafaela,24262,OF,106,410,118,27,3,14,54,56,18,88,15,193,248,2.34
Alex Bregman,17678,3B,108,426,106,21,1,11,58,47,56,78,2,162,247,2.29
Brooks Lee,31595,3B,107,394,97,17,3,16,51,58,31,68,7,168,247,2.31
Isaac Paredes,20036,3B,105,384,99,18,1,15,44,60,44,65,0,164,247,2.35
Manny Machado,11493,3B,108,400,85,19,0,23,57,65,51,102,2,173,246,2.28
Nick Kurtz,35110,1B,99,352,90,15,1,21,62,69,79,141,7,170,246,2.48
Hunter Goodman,29715,C,102,383,99,16,0,33,66,65,37,142,5,214,245,2.4
Elly De La Cruz,26668,SS,91,362,100,18,5,18,62,48,43,111,20,182,244,2.68
William Contreras,20503,C,102,393,107,17,1,10,53,57,37,61,1,156,243,2.38
Drake Baldwin,31539,C,88,342,94,7,0,20,61,57,43,82,2,161,242,2.75
Iván Herrera,20599,C,110,410,100,18,1,12,66,46,51,84,6,156,241,2.19
Jake McCarthy,21622,OF,96,337,98,22,7,10,48,59,18,67,17,164,239,2.49
Rafael Devers,17350,1B,111,421,105,27,1,22,58,61,46,126,0,200,239,2.15
Daylen Lile,29995,OF,110,421,104,22,5,13,56,54,27,84,10,175,238,2.16
Jung Hoo Lee,33824,OF,101,382,114,24,4,6,53,40,17,42,6,164,238,2.36
Mike Trout,10155,OF,92,331,81,16,0,18,64,40,76,101,8,151,238,2.59
Chase DeLauter,32127,OF,94,352,97,20,1,12,40,52,39,55,6,155,237,2.52
Trea Turner,16252,SS,108,445,111,19,1,16,75,43,28,106,17,180,237,2.19
Tyler Soderstrom,27467,OF,99,359,87,23,2,17,51,50,48,78,1,165,237,2.39
Vladimir Guerrero Jr.,19611,1B,105,390,104,18,0,6,57,44,45,57,7,140,236,2.25
Wilyer Abreu,23772,OF,108,415,102,22,3,16,55,53,44,100,6,178,236,2.19
Mauricio Dubón,16530,SS,106,400,104,21,2,10,50,55,27,59,3,159,235,2.22
Ernie Clement,20352,2B,108,418,122,27,1,8,47,35,15,42,4,175,234,2.17
Nick Gonzales,27490,3B,106,403,127,18,1,6,61,50,28,75,5,165,234,2.21
Christian Walker,13419,1B,108,400,95,21,1,22,55,64,37,107,0,184,233,2.16
Dansby Swanson,18314,SS,106,363,77,13,3,16,68,61,41,96,15,144,233,2.2
Jonathan Aranda,21837,1B,107,395,111,18,0,14,51,65,54,108,0,171,233,2.18
Shea Langeliers,25816,C,93,376,99,19,0,23,55,51,34,96,2,187,233,2.51
Riley Greene,25976,OF,110,398,109,24,1,15,59,53,59,122,3,180,232,2.11
Ryan O'Hearn,16442,OF,96,359,97,15,0,17,54,69,31,86,1,163,232,2.42
Seiya Suzuki,30116,OF,94,355,96,18,0,18,59,61,49,107,1,168,231,2.46
Casey Schmitt,27577,OF,98,387,105,17,1,21,47,55,11,81,9,187,228,2.33
Cole Young,31680,2B,112,408,107,15,3,14,53,50,28,76,3,170,228,2.04
José Ramírez,13510,3B,81,305,71,18,0,10,47,35,46,46,27,119,228,2.81
Max Muncy,13301,3B,102,337,85,16,1,21,59,49,46,95,2,166,227,2.23
Byron Buxton,14161,OF,82,331,87,16,1,25,57,45,24,88,7,180,225,2.74
Michael Busch,26319,1B,110,416,100,18,2,13,48,59,66,112,2,161,224,2.04
Taylor Ward,17548,OF,110,408,100,20,0,7,64,30,87,102,4,141,224,2.04
Kyle Tucker,18345,OF,104,370,87,18,2,9,58,51,53,83,7,136,222,2.13
Brayan Rocchio,23690,SS,109,380,99,17,2,9,43,50,28,62,15,147,221,2.03
Curtis Mead,23986,1B,88,285,72,17,1,17,49,48,39,63,6,142,221,2.51
Bryson Stott,26294,2B,105,368,93,21,6,8,45,49,32,75,19,150,220,2.1
Gunnar Henderson,26289,SS,110,455,100,19,4,18,63,47,39,118,8,181,220,2
Julio Rodríguez,23697,OF,101,397,100,16,0,16,51,47,32,88,14,164,220,2.18
Kody Clemens,20572,1B,97,356,85,20,5,19,51,53,24,88,7,172,219,2.26
Ildemaro Vargas,13324,1B,97,319,88,16,3,7,46,51,20,32,2,131,218,2.25
Gabriel Moreno,22664,C,84,295,89,18,0,8,46,47,40,51,4,131,217,2.58
Caleb Durbin,29646,3B,103,342,83,20,1,10,49,44,26,52,12,135,214,2.08
Bo Bichette,19612,3B,111,441,113,16,1,10,53,53,29,86,1,161,211,1.9
Zach Neto,31347,SS,108,426,98,21,3,19,73,46,49,153,14,182,211,1.95
Nolan Arenado,9777,3B,105,360,88,20,0,15,51,51,37,85,3,153,210,2
Munetaka Murakami,37120,1B,75,266,65,9,0,24,59,51,58,107,1,146,208,2.77
Trent Grisham,18564,OF,91,309,66,14,2,11,52,42,48,58,7,117,208,2.29
Chandler Simpson,31912,OF,103,379,110,11,6,0,45,20,20,38,27,133,207,2.01
Ezequiel Duran,23733,SS,102,350,93,19,3,12,50,57,27,89,8,154,207,2.03
Kazuma Okamoto,37123,3B,108,394,90,15,0,24,57,69,38,135,1,177,207,1.92
Carson Benge,35177,OF,107,402,107,15,2,11,55,41,32,98,17,159,206,1.93
JJ Bleday,26368,OF,82,292,66,11,1,19,42,46,48,73,6,136,205,2.5
Jackson Merrill,29490,OF,108,419,98,18,1,15,52,50,29,112,21,163,203,1.88
