PlayerName,playerid,mlbam_id,fantasy_position,WAR
Spencer Arrighetti,29921,681293,SP,0.5833
Bailey Ober,21224,641927,SP,0.5788
Chad Patrick,30113,694477,SP,0.5757
Mick Abel,27756,690953,SP,0.5697
Tyler Alexander,17735,641302,SP,0.5659
José Suarez,19911,660761,SP,0.5612
Kyle Hart,19646,606996,SP,0.5517
Steven Okert,13580,595345,SP,0.5507
Drew Anderson,15130,623454,SP,0.546
Jack Leiter,30146,683004,SP,0.5359
Patrick Corbin,9323,571578,SP,0.5174
Brennan Bernardino,16835,657514,SP,0.5163
Jimmy Herget,17556,623474,SP,0.5149
Joe Boyle,29608,671212,SP,0.5084
Connelly Early,33666,813349,SP,0.5007
Ryan Feltner,21446,663372,SP,0.5003
Anthony Kay,20387,641743,SP,0.4964
Mason Montgomery,29770,682254,SP,0.4839
Robbie Ray,11486,592662,SP,0.4714
Mason Fluharty,31553,689254,SP,0.4565
Tim Mayza,15042,641835,SP,0.4488
Stephen Kolek,21487,663568,SP,0.4477
Juan Mejia,23237,675848,SP,0.4469
Aaron Nola,16149,605400,SP,0.4384
Chase Dollander,33482,801403,SP,0.4361
Roki Sasaki,35323,808963,SP,0.4334
Randy Vásquez,24719,681190,SP,0.4214
Ian Seymour,27932,693855,SP,0.4022
Lake Bachar,19222,669199,SP,0.3915
Kyle Freeland,16256,607536,SP,0.3908
Brent Suter,13942,608718,SP,0.3885
Cole Sulser,15256,642121,SP,0.3861
Casey Legumina,25921,668984,SP,0.3817
Zebby Matthews,31827,805673,SP,0.364
Tomoyuki Sugano,35321,608372,SP,0.3499
Gerrit Cole,13125,543037,SP,0.3471
Ryan Gusto,26440,687473,SP,0.3452
Colin Rea,12317,607067,SP,0.3368
Tanner Gordon,27669,685299,SP,0.3322
John King,22051,667463,SP,0.3309
Noah Schultz,32056,702273,SP,0.3242
Tyler Phillips,20629,663969,SP,0.3202
Garrett Crochet,27463,676979,SP,0.3186
Ty Madden,30140,680744,SP,0.3067
Luis Medina,21649,665622,SP,0.2924
Jack Kochanowicz,27688,686799,SP,0.2821
Chris Bassitt,12304,605135,SP,0.2746
Jose Quintana,11423,500779,SP,0.2478
Paul Blackburn,14739,621112,SP,0.2408
Griffin Jax,20253,643377,SP,0.2329
Kendry Rojas,29423,696070,SP,0.2231
Tyler Mahle,16358,641816,SP,0.2203
Robert Gasser,29812,688107,SP,0.2195
Zach Thornton,33891,804267,SP,0.2173
Tanner Banks,16990,621383,SP,0.2046
Jared Jones,27863,683003,SP,0.1982
Coleman Crow,27926,689441,SP,0.1978
DL Hall,22207,669084,SP,0.1942
Tyler Holton,26231,663947,SP,0.1908
Nick Lodolo,26378,666157,SP,0.186
Edward Cabrera,21690,665795,SP,0.1858
Riley Martin,29934,702303,SP,0.1856
Tyler Samaniego,30081,701719,SP,0.1783
Cal Quantrill,19312,615698,SP,0.1782
Brandon Eisert,27668,685126,SP,0.1779
Brandon Sproat,33850,687075,SP,0.1763
Sam Aldegheri,26443,691951,SP,0.1728
Aaron Civale,19479,650644,SP,0.1726
Kai-Wei Teng,24282,678906,SP,0.1706
Chris Murphy,26214,669684,SP,0.1689
Chris Paddack,20099,663978,SP,0.1658
Reynaldo López,16400,625643,SP,0.1618
Wandy Peralta,14295,593974,SP,0.146
Ryan Rolison,22200,669020,SP,0.1407
Javier Assad,21741,665871,SP,0.1373
Keegan Akin,19362,669211,SP,0.1332
Lance McCullers Jr.,14120,621121,SP,0.1326
Adam Macko,25590,671936,SP,0.1321
Troy Melton,31807,675512,SP,0.1267
Blake Snell,13543,605483,SP,0.1197
Carson Palmquist,31612,687223,SP,0.1109
Zach Pop,20185,647315,SP,0.0987
Luinder Avila,24452,679883,SP,0.096
Cody Ponce,17920,664074,SP,0.0899
Austin Warren,24937,681810,SP,0.0858
Carson Whisenhunt,31676,687931,SP,0.0847
Burch Smith,12784,572143,SP,0.0776
Grayson Rodriguez,24492,680570,SP,0.0753
Kyle Backhus,29615,679775,SP,0.0718
Jose Cabrera,30412,703615,SP,0.0659
Mitch Bratt,30003,683352,SP,0.0649
Hunter Dobbins,30240,690928,SP,0.051
Spencer Strider,27498,675911,SP,0.0504
Mason Englert,22288,669438,SP,0.0442
Jovani Morán,20422,663558,SP,0.0421
Cade Horton,31872,690990,SP,0.0375
Paxton Schultz,25501,687606,SP,0.0373
David Sandlin,31743,689818,SP,0.0364
JP Sears,23429,676664,SP,0.0265
Zach Eflin,13774,621107,SP,0.0218
Grant Holmes,16944,656550,SP,0.0208
Joey Estes,26257,683155,SP,0.0154
Elmer Rodríguez,31811,695684,SP,0.0072
Cody Bolton,23265,675989,SP,-0.0033
Dean Kremer,19350,665152,SP,-0.0091
Tobias Myers,22191,668964,SP,-0.0137
Jordan Wicks,30094,696136,SP,-0.0163
Steven Matz,13361,571927,SP,-0.02
Shane Smith,31687,681343,SP,-0.0231
Zac Gallen,19291,668678,SP,-0.0243
Braxton Garrett,21844,666129,SP,-0.0353
Matt Waldron,25550,663362,SP,-0.0394
Brandon Williamson,25463,682227,SP,-0.0424
Andrew Painter,30091,691725,SP,-0.0508
Brayan Bello,23920,678394,SP,-0.0511
Griffin Canning,19867,656288,SP,-0.0525
Brady Singer,25377,663903,SP,-0.0558
Matthew Liberatore,22294,669461,SP,-0.0584
Sammy Peralta,25589,671111,SP,-0.0629
Justin Verlander,8700,434378,SP,-0.08
Robby Snelling,31893,702281,SP,-0.0834
Cade Povich,30055,700249,SP,-0.0858
