game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_wr,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_rb,proj_rush_2pt,proj_bonus_rec_te,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_pr,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_tkl_loss,proj_yds_allow,proj_yds_allow_200_299,proj_pr_td,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_safe,proj_yds_allow_300_349,proj_pts_allow_21_27,proj_yds_allow_350_399,proj_fgm_0_19,proj_def_kr_td,proj_def_pr_td,proj_st_td
202510925,LV,9487,2025,JAX,9,103.0,3.12,0.0,0.05,0.02,1.0,44.0,7.88,9.44,6.32,3.12,0.62,0.94,0.62,0.01,0.31,0.31,0.62,4.12,0.32,5.41,41.16,0.0,0.52,0.21,0.02,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88,0.88,8.56,,,,,,,,,,,,,,,,,,,,,,,
202510934,TEN,11647,2025,LAC,9,18.0,,0.0,0.23,0.1,1.0,11.0,15.45,16.52,14.37,2.15,0.43,0.64,0.43,0.0,0.21,0.21,0.43,1.71,0.18,2.83,17.1,0.06,15.33,7.56,0.7,75.61,2.15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510907,CIN,11620,2025,CHI,9,39.0,4.18,0.0,0.08,0.03,1.0,20.0,11.96,14.05,9.88,4.18,0.84,1.25,0.84,0.01,0.42,0.42,0.84,6.65,0.53,7.73,66.53,0.0,0.08,0.04,0.0,0.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510925,LV,11786,2025,JAX,9,999.0,,,,,1.0,999.0,8.73,8.73,8.73,,,,,,,,,,,,,,,,,,,,,2.1,1.77,0.46,0.53,0.46,0.33,72.71,0.13,2.56,2.43,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.13,,,,,,,,
202510907,CHI,4147,2025,CIN,9,113.0,,0.01,0.33,0.14,1.0,31.0,8.02,8.79,7.25,1.54,0.31,0.46,0.31,0.0,0.15,0.15,0.31,1.26,0.09,1.84,12.6,0.03,7.89,4.3,0.24,42.98,1.54,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510904,KC,4984,2025,BUF,9,28.0,,0.01,0.56,0.24,1.0,2.0,24.7,24.7,24.7,,,,,,,,,,,,,0.02,5.55,3.19,0.36,31.92,,0.02,,,,,,,,,,,,,65.96,0.07,34.15,22.53,0.38,25.75,11.63,0.79,0.03,1.64,1.94,257.48,,,,,,,,,,,,,,,,,,,,,,,,,,
202510923,NYG,4454,2025,SF,9,100.0,3.06,0.0,0.04,0.02,1.0,42.0,7.97,9.5,6.44,3.06,0.61,0.92,0.61,0.0,0.31,0.31,0.61,4.76,0.27,4.43,47.61,0.0,0.08,0.05,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510907,CHI,7839,2025,CIN,9,999.0,,,,,1.0,999.0,8.98,8.98,8.98,,,,,,,,,,,,,,,,,,,,,2.12,1.73,0.38,0.51,0.51,0.32,72.36,0.19,2.89,2.76,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,,,,,,,,
202510934,TEN,9754,2025,LAC,9,73.0,3.55,0.0,0.13,0.06,1.0,33.0,9.51,11.29,7.74,3.55,0.71,1.06,0.71,0.01,0.35,0.35,0.71,4.96,0.44,5.7,49.58,0.0,0.34,0.16,0.01,1.58,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510911,MIN,DET,2025,DET,9,999.0,,0.06,,,1.0,999.0,7.46,7.46,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,44.3,,16.26,0.06,60.57,0.17,0.93,0.58,0.76,19.0,1.0,2.56,5.13,316.5,,,,,0.06,1.0,,,,,,
202510925,JAX,12527,2025,LV,9,19.0,,0.0,0.18,0.08,1.0,12.0,15.03,16.39,13.67,2.71,0.54,0.81,0.54,0.0,0.27,0.27,0.54,2.0,0.22,3.64,19.98,0.12,17.38,7.5,0.49,75.0,2.71,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
