block_price,block_time,market_price,direction,reached_1d,pct_toward_1d,close_1d,reached_3d,pct_toward_3d,close_3d,reached_1w,pct_toward_1w,close_1w,reached_2w,pct_toward_2w,close_2w,reached_1mo,pct_toward_1mo,close_1mo,event_idx,ticker,trade_date,size,deviation,dollar_value,exchange
688.9979,2025-12-12 10:29:00.538687689-05:00,684.31,above_market,False,27.730966957487666,681.8874,False,33.27716034898472,679.82,False,33.27716034898472,679.19,True,100.0,690.735,True,100.0,694.48,24,SPY,2025-12-12,502305,0.0073657816246562,346087090.1595,D
680.72,2025-12-16 14:07:09.188418445-05:00,676.15,above_market,True,100.0,672.39,True,100.0,680.42,True,100.0,687.7412,True,100.0,687.63,True,100.0,694.48,25,SPY,2025-12-16,502204,0.0061338811948504,341860306.88,D
679.1137,2025-12-17 13:56:56.032101526-05:00,672.29,above_market,True,100.0,678.275,True,100.0,681.4505,True,100.0,689.95,True,100.0,685.84,True,100.0,692.64,26,SPY,2025-12-17,992757,0.0099696613673205,674194879.4708999,D
671.2689,2025-12-18 10:26:23.377839308-05:00,679.56,below_market,False,65.1300792415968,679.19,False,65.1300792415968,681.4505,False,65.1300792415968,689.56,False,65.1300792415968,682.5,False,65.1300792415968,691.42,27,SPY,2025-12-18,502103,0.0110510187545117,337046128.4967,D
671.2689,2025-12-18 12:07:28.439012208-05:00,676.44,below_market,False,44.09119916458927,680.1121,False,44.09119916458927,681.4505,False,44.09119916458927,689.56,False,44.09119916458927,682.5,False,44.09119916458927,691.42,28,SPY,2025-12-18,502103,0.009723394211194,337046128.4967,D
676.7671,2025-12-19 12:17:13.563687865-05:00,680.8,below_market,False,29.507302437451028,681.4505,False,29.507302437451028,684.84,False,29.507302437451028,689.55,False,29.507302437451028,682.16,False,29.507302437451028,691.42,29,SPY,2025-12-19,2194000,0.0054709106673132,1484827017.4,D
680.5868,2025-12-22 14:46:23.426275050-05:00,684.68,below_market,False,33.225837975176624,687.83,False,33.225837975176624,689.56,False,33.225837975176624,688.11,True,100.0,687.805,True,100.0,688.22,30,SPY,2025-12-22,589647,0.0061742222352022,401305964.8596,D
680.5868,2025-12-22 15:12:46.959982107-05:00,684.995,below_market,False,37.997368540446615,687.885,False,37.997368540446615,689.56,False,37.997368540446615,688.48,True,100.0,688.13,True,100.0,687.12,31,SPY,2025-12-22,589589,0.0061669660197717,401266490.8252,D
689.6022,2026-01-09 16:33:55.397075542-05:00,693.93,below_market,True,100.0,694.48,True,100.0,695.34,True,100.0,691.72,True,100.0,688.16,True,100.0,690.6162,32,SPY,2026-01-09,1335600,0.0061650429469071,921032698.32,D
693.8932,2026-01-14 14:43:24.666060311-05:00,688.27,above_market,True,100.0,693.39,True,100.0,691.42,True,100.0,687.24,True,100.0,694.69,True,100.0,683.66,33,SPY,2026-01-14,500000,0.0080821698894424,346946600.0,D
694.6235,2026-01-30 15:05:59.847368391-05:00,690.015,above_market,False,61.00032548551493,690.49,True,100.0,696.295,True,100.0,689.605,True,100.0,683.127,True,100.0,683.69,34,SPY,2026-01-30,1439628,0.0058260932522444,999999440.058,D
692.1181,2026-02-12 15:51:09.162849999-05:00,681.29,above_market,False,46.08380048207885,681.44,False,46.08380048207885,680.9499,False,72.58891218219233,683.95,True,100.0,688.99,True,100.0,663.052,35,SPY,2026-02-12,504210,0.0165799098159599,348972867.20100003,D
682.3857,2026-02-20 11:24:59.877119907-05:00,686.13,below_market,False,54.749886494137236,689.59,True,100.0,681.79,True,100.0,685.81,True,100.0,674.425,True,100.0,653.28,36,SPY,2026-02-20,1000000,0.0066408267530156,682385700.0,D
662.3037,2026-03-16 12:21:20.482362493-04:00,667.45,below_market,False,40.0287585255438,671.48,True,100.0,657.54,True,100.0,655.68,True,100.0,635.8,False,,,37,SPY,2026-03-16,1509881,0.0091800311172281,999999772.8597,D
656.8393,2026-03-20 10:51:53.344672947-04:00,652.12,above_market,True,100.0,653.28,True,100.0,660.9,True,100.0,639.5466,True,100.0,655.92,False,,,38,SPY,2026-03-20,1000000,0.0070592654488029,656839300.0,D
656.8393,2026-03-20 10:59:51.654191130-04:00,652.02,above_market,True,100.0,653.28,True,100.0,661.05,True,100.0,640.19,True,100.0,655.92,False,,,39,SPY,2026-03-20,963800,0.0072368582469483,633061717.34,D
648.57,2026-03-20 18:30:00.000835581-04:00,654.19,below_market,False,21.174377224200242,653.28,True,100.0,655.97,True,100.0,633.14,True,100.0,655.92,False,,,40,SPY,2026-03-20,3301159,0.0082875884952368,2141032692.63,P
648.0975,2026-03-23 15:20:48.442457380-04:00,657.33,below_market,False,80.69320335770362,655.05,True,100.0,646.125,True,100.0,629.88,True,100.0,657.9701,False,,,41,SPY,2026-03-23,507467,0.0144802469511268,328888094.03249997,D
653.18,2026-03-24 18:30:00.000779702-04:00,657.47,below_market,False,75.29137529137437,655.67,True,100.0,633.14,True,100.0,650.25,True,100.0,666.74,False,,,42,SPY,2026-03-24,1225686,0.0060866124958154,800593581.4799999,P
659.22,2026-04-07 18:30:00.000784201-04:00,670.0,below_market,False,37.19851576994435,675.25,False,37.19851576994435,680.15,False,,,False,,,False,,,43,SPY,2026-04-07,1029811,0.0082420826886173,678872007.4200001,P
659.3078,2026-04-08 14:53:44.687902313-04:00,672.94,below_market,False,1.173691700533162,679.06,False,1.173691700533162,680.65,False,,,False,,,False,,,44,SPY,2026-04-08,1000000,0.0217259440611321,659307800.0,D
