date,equity,n_positions,in_mkt,bnh
2026-01-05,1.1438024989815867,32,1,1.170541047960403
2026-01-06,1.15048455001348,33,1,1.1774705581157194
2026-01-07,1.146650175112897,27,1,1.173715651135006
2026-01-08,1.146394603329018,21,1,1.1734596347499573
2026-01-09,1.1539242573268864,20,1,1.1812083973374297
2026-01-12,1.1562126297839346,14,1,1.1831882573818058
2026-01-13,1.153800696485306,9,1,1.180798771121352
2026-01-14,1.1482205625536008,3,1,1.1751664106502817
2026-01-15,1.1476248876499804,2,1,1.1781191329578427
2026-01-16,1.144904535068973,6,1,1.1770950674176481
2026-01-20,1.121779342693729,6,1,1.1533196791261309
2026-01-21,1.1345621123483862,6,1,1.1664618535586277
2026-01-22,1.1374857386575574,10,1,1.1725891790407919
2026-01-23,1.1384523422373407,11,1,1.1730329407748763
2026-01-26,1.1442665194595107,11,1,1.1790237241850146
2026-01-27,1.148103589397661,16,1,1.183836832223929
2026-01-28,1.1467119654757667,11,1,1.1836320191158902
2026-01-29,1.1443204679599466,11,1,1.181174261819423
2026-01-30,1.1407693669804024,10,1,1.1775558969107356
2026-02-02,1.1472437564423097,7,1,1.1837002901519031
2026-02-03,1.1373681270881928,7,1,1.173510838026967
2026-02-04,1.1318430681195581,7,1,1.167810206519884
2026-02-05,1.1175181931426728,7,1,1.153046594982079
2026-02-06,1.1393203598842694,6,1,1.175541901348353
2026-02-09,1.1446964632158467,6,1,1.181088923024407
2026-02-10,1.1417023872065684,6,1,1.17799965864482
2026-02-11,1.1413715500784711,6,1,1.1776583034647552
2026-02-12,1.1238537241457314,6,1,1.1595835466803208
2026-02-13,1.1243079400037002,7,1,1.1601638504864311
2026-02-17,1.12621007042269,7,1,1.162126642771804
2026-02-18,1.131949542208686,7,1,1.1680491551459293
2026-02-19,1.12992566940792,9,1,1.1650793650793652
2026-02-20,1.137920660740199,9,1,1.1733230926779314
2026-02-23,1.126668678188575,10,1,1.161495135688684
2026-02-24,1.134847340491302,7,1,1.169926608636286
2026-02-25,1.1428435760163373,10,1,1.1796552312681345
2026-02-26,1.1364533317178884,10,1,1.1732548216419183
2026-02-27,1.131344821811125,5,1,1.1679808841099164
2026-03-02,1.1315928077289292,5,1,1.168236900494965
2026-03-03,1.1215186810383677,5,1,1.1578597030209934
2026-03-04,1.1295697961442166,4,1,1.1661717016555726
2026-03-05,1.1255682511802094,7,1,1.1598395630653695
2026-03-06,1.110743976516001,7,1,1.1445639187574672
2026-03-09,1.12040045934196,7,1,1.1545144222563577
2026-03-10,1.1185423582996241,9,1,1.1523980201399557
2026-03-11,1.1173661485299404,7,1,1.1511862092507255
2026-03-12,1.1003359563717034,7,1,1.133640552995392
2026-03-13,1.0941401471623837,7,1,1.127257211128179
2026-03-16,1.1051409718402168,7,1,1.1386072708653354
2026-03-17,1.1072428839083612,7,1,1.1416111964499063
2026-03-18,1.0939330398126472,12,1,1.1259259259259258
2026-03-19,1.0909978871924855,12,1,1.122904932582352
2026-03-20,1.0754598193671088,12,1,1.1069124423963133
2026-03-23,1.0845374455240115,14,1,1.1185782556750299
2026-03-24,1.08144748483468,13,1,1.1148660180918246
2026-03-25,1.0873083606710467,12,1,1.1209080047789726
2026-03-26,1.06990231507864,16,1,1.1010325994196963
2026-03-27,1.05163372828043,13,1,1.0822324628776243
2026-03-30,1.0482171791379593,13,1,1.078716504522956
2026-03-31,1.078427102744804,13,1,1.109805427547363
2026-04-01,1.0844431824066711,20,1,1.1182283666154633
2026-04-02,1.0917422957462248,19,1,1.1194401775046936
2026-04-06,1.0967192876720058,10,1,1.1245434374466634
2026-04-07,1.0973631582877161,10,1,1.125226147806793
2026-04-08,1.1218180450328792,9,1,1.153558627752176
2026-04-09,1.12861103756408,9,1,1.1603857313534733
2026-04-10,1.1268549344981578,9,1,1.1594299368492917
2026-04-13,1.1379690474379611,6,1,1.1708653353814644
2026-04-14,1.1511543434585014,8,1,1.1851851851851851
2026-04-15,1.1594676330330658,11,1,1.1944700460829494
2026-04-16,1.161375485384702,10,1,1.1973886328725039
2026-04-17,1.161375485384702,0,0,1.211879160266257
2026-04-20,1.1610955225775474,5,1,1.2095750128008194
2026-04-21,1.1536573286246172,4,1,1.201826250213347
2026-04-22,1.1652242117320373,4,1,1.2138760880696366
2026-04-23,1.1618349681832836,7,1,1.2091483188257384
2026-04-24,1.1708536065786943,7,1,1.2186038573135347
2026-04-27,1.1734160846967707,7,1,1.220600785116914
2026-04-28,1.1677225185723243,3,1,1.2146782727427887
2026-04-29,1.1675748468284628,3,1,1.2145246629117599
2026-04-30,1.1787978993619532,3,1,1.2261990100699778
2026-05-01,1.1797134073841888,7,1,1.2300221880867042
2026-05-04,1.1797134073841888,0,0,1.2255845707458612
2026-05-05,1.1797134073841888,0,0,1.2352619901006998
2026-05-06,1.1886995394895108,4,1,1.2524150878989588
2026-05-07,1.1829373284818945,4,1,1.2486089776412357
2026-05-08,1.1829373284818945,0,0,1.2587984297661716
2026-05-11,1.1873160909929774,5,1,1.2617511520737328
2026-05-12,1.1873160909929774,0,0,1.2599761051373957
2026-05-13,1.1873160909929774,0,0,1.2669226830517153
2026-05-14,1.1943653192387187,4,1,1.2769243898276157
2026-05-15,1.1898829850044716,3,1,1.2614610001706776
2026-05-18,1.1890297222326138,3,1,1.2605564089435057
2026-05-19,1.1813020593931471,3,1,1.2523638846219491
2026-05-20,1.193440929770143,3,1,1.2652329749103943
2026-05-21,1.1974303322656283,5,1,1.2677077999658646
2026-05-22,1.2020088609006125,3,1,1.2725550435227855
2026-05-26,1.20990843495393,3,1,1.2809182454343746
2026-05-27,1.2095635855045503,5,1,1.2808841099163681
2026-05-28,1.2162845472372696,5,1,1.2880013654207203
2026-05-29,1.21809622352904,9,1,1.291005291005291
2026-06-01,1.21809622352904,0,0,1.2944700460829492
2026-06-02,1.21809622352904,0,0,1.2962109575012801
2026-06-03,1.21809622352904,0,0,1.2872333162655745
2026-06-04,1.21809622352904,0,0,1.292131763099505
2026-06-05,1.21809622352904,0,0,1.258610684417136
2026-06-08,1.21809622352904,0,0,1.261836490868749
2026-06-09,1.21809622352904,0,0,1.257979177334016
2026-06-10,1.21809622352904,0,0,1.2381293736132446
2026-06-11,1.21809622352904,0,0,1.2589861751152074
2026-06-12,1.2193884385416258,5,1,1.2657962109575014
2026-06-17,1.202599356628002,4,1,1.2647550776583034
2026-06-18,1.202599356628002,0,0,1.2742106161461
2026-06-22,1.1972197503554791,10,1,1.27047277692439
2026-06-23,1.1972197503554791,0,0,1.2522102747909198
