game_date,game_pk,game_year,game_type,batter,pitcher,player_name,stand,p_throws,home_team,away_team,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,pitch_type,pitch_name,release_speed,release_spin_rate,release_extension,effective_speed,plate_x,plate_z,zone,pfx_x,pfx_z,description,events,bb_type,hit_location,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,bat_speed,swing_length,attack_angle,swing_path_tilt,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,sz_top,sz_bot
2026-08-02,824891,2026,R,671739,676917,"Harris II, Michael",L,R,ATL,WSH,4,Bot,33,2,0,1,0,KC,Knuckle Curve,84.8,2203.0,6.1,85.0,-0.8510912475651903,2.037127049260329,13.0,0.64,-0.81,ball,,,,,,,,,,,,,,0.029,0.003,,,,,2,1,3.181389436,1.605561024
2026-08-02,824163,2026,R,694671,663567,"Langford, Wyatt",R,R,HOU,TEX,4,Top,27,1,0,0,1,ST,Sweeper,84.6,2734.0,6.2,84.2,0.6586190204915567,1.497789742284334,9.0,1.18,0.39,called_strike,,,,,,,,,,,,,,-0.042,0.003,,,,,2,1,3.196309055,1.613090551
2026-08-02,822943,2026,R,808959,643377,"Murakami, Munetaka",L,R,TB,CWS,3,Top,18,5,2,2,0,ST,Sweeper,87.0,3138.0,6.2,86.8,0.7100844123555836,2.033954758521121,9.0,1.07,-0.21,foul,,,,97.4,17.0,256.0,,,,,,,,0.0,0.0,78.6,8.4,24.56037146825712,39.74856645010982,2,1,3.296358268,1.663582677
2026-08-02,823107,2026,R,647304,671737,"Naylor, Josh",L,R,SEA,MIN,3,Bot,26,2,1,0,2,CU,Curveball,85.1,2593.0,6.2,84.8,-0.1189152314717761,1.0432276921305323,13.0,0.64,-0.6,blocked_ball,,,,,,,,,,,,,,0.052,0.003,,,,,2,1,3.110301837,1.569685039
2026-08-02,824648,2026,R,673548,543037,"Suzuki, Seiya",R,R,CHC,NYY,4,Bot,27,3,1,1,0,SL,Slider,88.9,2449.0,6.2,88.8,0.5198090323481668,2.615955602961888,6.0,0.54,0.04,foul,,,,71.3,31.0,205.0,,,,,,,,-0.062,-0.008,76.0,7.1,5.096892749210732,30.48260767494192,2,1,3.177878937,1.60378937
2026-08-02,824404,2026,R,672515,668909,"Moreno, Gabriel",R,R,CLE,AZ,4,Top,27,1,0,0,2,ST,Sweeper,87.1,2486.0,7.1,88.6,1.341848324023251,1.6309858005908526,14.0,1.05,0.13,ball,,,,,,,,,,,,,,0.039,-0.001,,,,,2,1,3.071686352,1.55019685
2026-08-02,824404,2026,R,700932,518876,"Manzardo, Kyle",L,R,CLE,AZ,3,Bot,23,1,0,0,1,FC,Cutter,89.1,1999.0,5.9,89.2,-1.4313128688653642,5.485084988006669,11.0,-0.18,0.88,ball,,,,,,,,,,,,,,0.029,0.006,,,,,2,1,3.187532808,1.608661417
2026-08-02,823919,2026,R,678882,686218,"Rafaela, Ceddanne",R,R,LAD,BOS,3,Top,23,2,1,0,0,FF,4-Seam Fastball,92.3,2507.0,6.7,93.5,0.1056608715457384,3.848977429566875,12.0,-0.7,1.39,swinging_strike,,,,,,,,,,,,,,-0.056,0.005,66.8,6.3,6.721543562475831,19.559120856047468,2,1,3.110301837,1.569685039
2026-08-02,824971,2026,R,805808,695611,"McGonigle, Kevin",L,L,ATH,DET,3,Top,20,6,3,2,0,SI,Sinker,93.7,2164.0,6.2,94.0,-0.1457569801264278,2.3599862081365286,5.0,0.96,0.93,foul,,,,,,,,,,,,,,0.0,0.0,72.4,6.6,11.829161426677503,31.180260850971464,2,1,3.085728346,1.557283465
2026-08-02,824323,2026,R,694249,607625,"Carrigg, Cole",L,R,COL,KC,3,Bot,26,1,0,0,1,SI,Sinker,88.1,2206.0,5.8,88.0,-1.289781225453845,3.6734673438013408,11.0,-0.8,0.67,ball,,,,,,,,,,,,,,0.043,0.003,,,,,2,1,3.284949147,1.657824803
2026-08-02,824483,2026,R,663886,656605,"Stephenson, Tyler",R,R,CIN,PIT,2,Bot,19,3,1,1,2,FF,4-Seam Fastball,92.4,2472.0,6.6,93.1,0.2580931218260213,3.0716034154124534,2.0,-0.68,1.32,swinging_strike,,,,,,,,,,,,,,-0.056,-0.004,71.0,6.8,1.2584344996357733,35.13808137833448,2,1,3.359547244,1.695472441
2026-08-02,822783,2026,R,649966,669461,"Urías, Luis",R,L,TOR,STL,3,Bot,21,1,0,0,2,SL,Slider,86.0,2602.0,6.1,85.8,0.8269105720345336,3.195550960523362,12.0,-0.35,-0.18,ball,,,,,,,,,,,,,,0.039,0.001,,,,,2,1,3.090994095,1.559940945
2026-08-02,824891,2026,R,671739,676917,"Harris II, Michael",L,R,ATL,WSH,4,Bot,33,1,0,0,0,FF,4-Seam Fastball,96.1,2322.0,6.3,96.4,0.500029113391415,2.33778314052793,6.0,-0.54,1.2,called_strike,,,,,,,,,,,,,,-0.042,-0.004,,,,,2,1,3.181389436,1.605561024
2026-08-02,823592,2026,R,669065,476594,"Stowers, Kyle",L,R,NYM,MIA,3,Top,17,3,0,2,2,FF,4-Seam Fastball,98.0,2320.0,6.2,97.9,1.3059019254303557,1.9050283367581384,14.0,-1.01,0.92,ball,,,,,,,,,,,,,,0.013,-0.005,,,,,2,1,3.295480643,1.663139764
