dt,WVHT,DPD,APD,MWD,WTMP
2025-05-11T13:56:00Z,1.2,6,4.9,106,25.1
2025-05-11T13:26:00Z,1.1,6,4.8,117,25.1
2025-05-11T12:56:00Z,1.1,5,4.8,115,25.1
2025-05-11T12:26:00Z,1.2,5,4.8,114,25.1
2025-05-11T11:56:00Z,1.2,5,4.8,120,25
2025-05-11T11:26:00Z,1.1,5,4.6,118,25
2025-05-11T10:56:00Z,1.1,9,4.6,96,25
2025-05-11T10:26:00Z,1.1,9,4.5,84,25
2025-05-11T09:56:00Z,1,8,4.8,87,25
2025-05-11T09:26:00Z,1,8,4.5,83,25
2025-05-11T08:56:00Z,0.9,9,4.4,83,25
2025-05-11T08:26:00Z,1,9,4.7,86,25.1
2025-05-11T07:56:00Z,0.9,8,4.5,94,25
2025-05-11T07:26:00Z,1,9,4.7,89,25.1
2025-05-11T06:56:00Z,0.9,9,4.3,82,25.1
2025-05-11T06:26:00Z,0.9,9,4.4,84,25.1
2025-05-11T05:56:00Z,1,9,4.8,91,25.1
2025-05-11T05:26:00Z,0.9,9,4.3,86,25.1
2025-05-11T04:56:00Z,0.9,5,4.3,145,25.1
2025-05-11T04:26:00Z,0.9,9,4.6,93,25.1
2025-05-11T03:56:00Z,0.9,9,4.8,90,25
2025-05-11T03:26:00Z,0.9,5,4.6,158,25
2025-05-11T02:56:00Z,1,9,4.7,90,25
2025-05-11T02:26:00Z,1,5,4.2,153,25
2025-05-11T01:56:00Z,1,10,4.4,89,25
2025-05-11T01:26:00Z,1.1,5,4.3,167,25
2025-05-11T00:56:00Z,1,9,4.3,86,25
2025-05-11T00:26:00Z,1,9,4.3,83,25
2025-05-10T23:56:00Z,1,9,4.2,94,25
2025-05-10T22:56:00Z,0.9,9,4.2,86,25.1
2025-05-10T22:26:00Z,0.9,9,4.1,97,25.1
2025-05-10T21:56:00Z,0.9,9,4.3,84,25.1
2025-05-10T21:26:00Z,0.9,9,4.4,86,25.2
2025-05-10T20:56:00Z,0.9,9,4.3,93,25.3
2025-05-10T20:26:00Z,0.9,9,4.3,87,25.3
2025-05-10T19:56:00Z,1,9,4.8,84,25.3
2025-05-10T19:26:00Z,0.9,9,4.6,90,25.3
2025-05-10T18:56:00Z,0.9,8,4.5,89,25.3
2025-05-10T18:26:00Z,0.9,9,4.8,91,25.3
2025-05-10T17:56:00Z,0.9,9,4.4,94,25.2
2025-05-10T17:26:00Z,0.9,9,4.5,89,25.1
2025-05-10T16:56:00Z,0.9,9,4.5,90,25
2025-05-10T16:26:00Z,0.9,9,4.6,89,24.9
2025-05-10T15:56:00Z,0.9,9,4.3,93,25
2025-05-10T15:26:00Z,1,9,4.3,86,25
2025-05-10T14:56:00Z,0.9,9,3.9,87,25
2025-05-10T14:26:00Z,0.9,10,3.9,84,25
2025-05-10T13:56:00Z,0.8,9,4.1,90,24.9
2025-05-10T13:26:00Z,0.8,10,4.6,89,24.9
2025-05-10T12:56:00Z,0.7,10,4.4,98,24.9
2025-05-10T12:26:00Z,0.7,9,4.5,97,24.9
2025-05-10T11:56:00Z,0.7,9,4.4,90,24.9
2025-05-10T11:26:00Z,0.8,10,4.6,86,24.9
2025-05-10T10:56:00Z,0.8,9,4.6,90,24.9
2025-05-10T10:26:00Z,0.8,9,4.4,89,24.9
2025-05-10T09:56:00Z,0.8,9,4.6,87,24.9
2025-05-10T09:26:00Z,0.8,9,4.8,91,24.9
2025-05-10T08:56:00Z,0.8,10,5,84,24.9
2025-05-10T08:26:00Z,0.8,10,4.7,82,24.9
2025-05-10T07:56:00Z,0.8,9,4.8,83,24.9
2025-05-10T07:26:00Z,0.8,9,5.1,80,24.9
2025-05-10T06:56:00Z,0.8,9,5,86,24.9
2025-05-10T06:26:00Z,0.9,10,5,82,25
2025-05-10T05:56:00Z,0.9,10,4.9,77,25
2025-05-10T05:26:00Z,1,10,4.9,80,24.9
2025-05-10T04:56:00Z,0.8,10,4.7,94,25
2025-05-10T04:26:00Z,0.9,9,4.6,87,25
2025-05-10T03:56:00Z,0.9,10,5.2,89,25
